,No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,sum,count,ave
0,1,2010,1,1,0,4,,,,-26,69.79,1024,-22,NE,1.0289,,,0,0,
1,2,2010,1,1,1,4,,,,-26,76.26,1024,-23,NE,2.5722,,,0,0,
2,3,2010,1,1,2,4,,,,-27,69.56,1023,-23,NE,5.1444,,,0,0,
3,4,2010,1,1,3,4,,,,-27,69.56,1023,-23,NE,7.7166,,,0,0,
4,5,2010,1,1,4,4,,,,-27,69.56,1022,-23,NE,9.7744,,,0,0,
5,6,2010,1,1,5,4,,,,-26,76.26,1022,-23,NE,11.8322,,,0,0,
6,7,2010,1,1,6,4,,,,-25,76.46,1021,-22,NE,14.4044,,,0,0,
7,8,2010,1,1,7,4,,,,-24,70.26,1021,-20,NE,16.9766,,,0,0,
8,9,2010,1,1,8,4,,,,-23,70.49,1021,-19,NE,19.0344,,,0,0,
9,10,2010,1,1,9,4,,,,-22,70.71,1021,-18,NE,21.6066,,,0,0,
10,11,2010,1,1,10,4,,,,-20,77.39,1022,-17,NE,24.1788,,,0,0,
11,12,2010,1,1,11,4,,,,-18,77.75,1021,-15,NE,27.2655,,,0,0,
12,13,2010,1,1,12,4,,,,-17,77.92,1020,-14,NE,29.8377,,,0,0,
13,14,2010,1,1,13,4,,,,-16,78.1,1019,-13,NE,32.9244,,,0,0,
14,15,2010,1,1,14,4,,,,-15,84.87,1019,-13,NE,35.4966,,,0,0,
15,16,2010,1,1,15,4,,,,-15,78.27,1019,-12,NE,38.5833,,,0,0,
16,17,2010,1,1,16,4,,,,-15,78.27,1019,-12,NE,41.1555,,,0,0,
17,18,2010,1,1,17,4,,,,-15,78.27,1020,-12,NE,43.2133,,,0,0,
18,19,2010,1,1,18,4,,,,-16,78.1,1020,-13,NE,45.7855,,,0,0,
19,20,2010,1,1,19,4,,,,-17,77.92,1021,-14,NE,48.3577,,,0,0,
20,21,2010,1,1,20,4,,,,-17,84.62,1021,-15,NE,50.4155,,,0,0,
21,22,2010,1,1,21,4,,,,-19,77.57,1022,-16,NE,51.9588,,,0,0,
22,23,2010,1,1,22,4,,,,-20,77.39,1022,-17,NE,53.5021,,,0,0,
23,24,2010,1,1,23,4,,,,,,,,,,,,0,0,
24,25,2010,1,2,0,4,,,,,,,,,,,,0,0,
25,26,2010,1,2,1,4,,,,-23,70.49,1023,-19,NE,1.5433,,,0,0,
26,27,2010,1,2,2,4,,,,-24,70.26,1023,-20,NE,2.5722,,,0,0,
27,28,2010,1,2,3,4,,,,-24,76.65,1023,-21,NE,3.6011,,,0,0,
28,29,2010,1,2,4,4,,,,-24,76.65,1024,-21,NE,4.63,,,0,0,
29,30,2010,1,2,5,4,,,,-24,70.26,1024,-20,NE,6.1733,,,0,0,
30,31,2010,1,2,6,4,,,,-27,69.56,1024,-23,NE,8.2311,,,0,0,
