,No,year,month,day,hour,season,HUMI,TEMP,cbwd,TEMP_new,cbwd_new_bfill,cbwd_new_ffill
0,1,2010,1,1,0,4,69.79,-22.0,NE,-22.0,NE,NE
1,2,2010,1,1,1,4,76.26,-23.0,NE,-23.0,NE,NE
2,3,2010,1,1,2,4,69.56,-23.0,NE,-23.0,NE,NE
3,4,2010,1,1,3,4,69.56,-23.0,NE,-23.0,NE,NE
4,5,2010,1,1,4,4,69.56,-23.0,NE,-23.0,NE,NE
5,6,2010,1,1,5,4,76.26,-23.0,NE,-23.0,NE,NE
6,7,2010,1,1,6,4,76.46,-22.0,NE,-22.0,NE,NE
7,8,2010,1,1,7,4,70.26,-20.0,NE,-20.0,NE,NE
8,9,2010,1,1,8,4,70.49,-19.0,NE,-19.0,NE,NE
9,10,2010,1,1,9,4,70.71,-18.0,NE,-18.0,NE,NE
10,11,2010,1,1,10,4,77.39,-17.0,NE,-17.0,NE,NE
11,12,2010,1,1,11,4,77.75,-15.0,NE,-15.0,NE,NE
12,13,2010,1,1,12,4,77.92,-14.0,NE,-14.0,NE,NE
13,14,2010,1,1,13,4,78.1,-13.0,NE,-13.0,NE,NE
14,15,2010,1,1,14,4,84.87,-13.0,NE,-13.0,NE,NE
15,16,2010,1,1,15,4,78.27,-12.0,NE,-12.0,NE,NE
16,17,2010,1,1,16,4,78.27,-12.0,NE,-12.0,NE,NE
17,18,2010,1,1,17,4,78.27,-12.0,NE,-12.0,NE,NE
18,19,2010,1,1,18,4,78.1,-13.0,NE,-13.0,NE,NE
19,20,2010,1,1,19,4,77.92,-14.0,NE,-14.0,NE,NE
20,21,2010,1,1,20,4,84.62,-15.0,NE,-15.0,NE,NE
21,22,2010,1,1,21,4,77.57,-16.0,NE,-16.0,NE,NE
22,23,2010,1,1,22,4,77.39,-17.0,NE,-17.0,NE,NE
23,24,2010,1,1,23,4,,,,-17.666666666666668,NE,NE
24,25,2010,1,2,0,4,,,,-18.333333333333332,NE,NE
25,26,2010,1,2,1,4,70.49,-19.0,NE,-19.0,NE,NE
26,27,2010,1,2,2,4,70.26,-20.0,NE,-20.0,NE,NE
27,28,2010,1,2,3,4,76.65,-21.0,NE,-21.0,NE,NE
28,29,2010,1,2,4,4,76.65,-21.0,NE,-21.0,NE,NE
29,30,2010,1,2,5,4,70.26,-20.0,NE,-20.0,NE,NE
30,31,2010,1,2,6,4,69.56,-23.0,NE,-23.0,NE,NE
31,32,2010,1,2,7,4,69.56,-23.0,NE,-23.0,NE,NE
32,33,2010,1,2,8,4,76.07,-24.0,NE,-24.0,NE,NE
33,34,2010,1,2,9,4,70.03,-21.0,cv,-21.0,cv,cv
34,35,2010,1,2,10,4,58.89,-19.0,SE,-19.0,SE,SE
35,36,2010,1,2,11,4,54.37,-17.0,NW,-17.0,NW,NW
36,37,2010,1,2,12,4,50.0,-16.0,NW,-16.0,NW,NW
37,38,2010,1,2,13,4,50.0,-16.0,NE,-16.0,NE,NE
38,39,2010,1,2,14,4,50.0,-16.0,NW,-16.0,NW,NW
39,40,2010,1,2,15,4,50.0,-16.0,NE,-16.0,NE,NE
40,41,2010,1,2,16,4,54.37,-17.0,NW,-17.0,NW,NW
41,42,2010,1,2,17,4,54.37,-17.0,NE,-17.0,NE,NE
42,43,2010,1,2,18,4,58.89,-19.0,NE,-19.0,NE,NE
43,44,2010,1,2,19,4,58.89,-19.0,cv,-19.0,cv,cv
44,45,2010,1,2,20,4,69.79,-22.0,NE,-22.0,NE,NE
45,46,2010,1,2,21,4,69.08,-25.0,SE,-25.0,SE,SE
46,47,2010,1,2,22,4,75.87,-25.0,SE,-25.0,SE,SE
